,,,,Away,,,,Home,,,,,,,,,,
,,,,3,4,5,5,3,4,,,,,,,,,
Away,score,home,score,AdjO-A,AdjD-H,AdjT-A,AdjT-H,AdjO-H,AdjD-A,,,,,,,,,
Oral Roberts,75,New Mexico,82,112.8,98,71.3,72.3,110,103.4,,,,,,,,,
Oklahoma,75,Kansas,79,111.8,90.1,64,69,115.4,95,,,,,,,,,
Vanderbilt,68,Tennessee,77,107.6,81.6,66.3,67.4,112.1,100.5,,,,,,,,,
Oklahoma State,57,Kansas State,65,105.2,94.1,67.4,69.8,112.2,88.6,,,,,,,,,
UNC,58,Virginia,65,114.5,91.7,69.2,61.9,112.6,96.3,,,,,,,,,
Texas Tech,50,Iowa State,84,106.5,88.5,68.6,65.3,107.8,93.7,,,,,,,,,
Michigan State,69,Wisconsin,65,109.3,93.2,65.3,63.8,106.5,94.1,,,,,,,,,
Auburn,82,Ole Miss,73,109.8,96.3,68,66.4,105,90.7,,,,,,,,,
Nevada,65,San Diego State,74,109.1,91.9,66.6,69.1,110.5,96.2,,,,,,,,,
Dayton,82,Fordham,58,106.1,100.9,63.8,70.3,99.3,91.4,,,,,,,,,
Buffalo,80,Miami (OH),91,101.8,111.9,73.9,68.8,102.6,104,,,,,,,,,
Ball State,71,Ohio,76,107,104.2,67.5,68.5,105,104.4,,,,,,,,,
Drake,76,UIC,71,103,103.1,67.5,69.5,94.9,96.5,,,,,,,,,
VCU,78,Loyola (IL),64,101.9,105.2,69.7,65.7,101.8,95.4,,,,,,,,,
Central Michigan,54,Northern Illinois,73,93.5,106.3,68.4,69,95.7,103,,,,,,,,,
Belmont,74,Valparaiso,59,106.5,106.6,68.6,68,94.5,103.2,,,,,,,,,
Air Force,85,Colorado State,74,102.9,104.8,63.3,67.1,109.6,101.3,,,,,,,,,
Wyoming,63,Utah State,83,107.6,97.7,64.4,70.6,113.2,105.7,,,,,,,,,
Butler,61,St. John's (NY),77,104.5,96.7,67.2,74.1,107.8,95.9,,,,,,,,,
Akron,74,Bowling Green,70,103,107.4,65.3,70,101.3,99.3,,,,,,,,,
Toledo,63,Kent State,75,114.3,92.9,72.1,68.7,104.3,108.6,,,,,,,,,
South Carolina,71,Kentucky,68,100.6,98.1,63.6,65.5,113,103.3,,,,,,,,,
Florida,67,LSU,56,106.4,97,70.8,67.1,105,92.3,,,,,,,,,
Georgia Tech,72,Notre Dame,73,102.7,104.6,67.8,64,107.9,99.1,,,,,,,,,
Hartford,73,St. Francis (NY),78,86.1,110.6,67,66.1,90.7,113,,,,,,,,,
Eastern Michigan,79,Western Michigan,85,100.1,112.4,70.8,66,100.7,112.5,,,,,,,,,
Seton Hall,66,Georgetown,51,105.1,107.5,67,68.7,102.9,91.6,,,,,,,,,
Murray State,67,Northern Iowa,75,102.7,100.5,67.4,68.6,100.5,103.4,,,,,,,,,
Temple,76,Tulsa,72,104.6,106.5,66.6,69.9,100,101.9,,,,,,,,,
Villanova,65,DePaul,75,112.1,102.1,63.9,70,104.9,100.5,,,,,,,,,
Illinois,76,Nebraska,50,110.2,95.4,70.3,65.4,102.8,92.2,,,,,,,,,
Fresno State,64,San Jose State,74,99,102.5,64.1,63.4,106,98.5,,,,,,,,,
South Florida,77,Houston,83,104.6,86.6,68.1,63.8,117.2,102.3,,,,,,,,,
Alabama,84,Arkansas,69,116.8,93.3,73.9,70.4,111.7,90,,,,,,,,,
UConn,76,Marquette,82,116,98.9,68,69.6,119.4,91,,,,,,,,,
TCU,75,Texas,79,110.4,94,70.7,69.2,115.7,93.3,,,,,,,,,
Creighton,87,Xavier,90,113,99.2,69.3,72.5,118.5,94,,,,,,,,,
Boston College,72,Miami (FL),88,98.9,101.6,66.9,68.5,116.9,101,,,,,,,,,
Missouri,64,Texas A&M,82,117.6,99,71.1,67.2,113.4,104.1,,,,,,,,,
College of Charleston,71,UNC Wilmington,69,109.6,101.9,70.6,65.5,105.6,100.3,,,,,,,,,
Pitt,69,Duke,77,112,94.9,67.8,66.4,111.7,99.2,,,,,,,,,
Loyola (MD),67,Bucknell,57,95,108.5,65,67.3,99.5,109.7,,,,,,,,,
Florida Atlantic,77,Florida International,73,113.3,104.2,67,71.4,98.7,98.3,,,,,,,,,
Vermont,65,UMass-Lowell,80,103.1,103.7,65,69.3,103.8,103,,,,,,,,,
Furman,84,Mercer,66,111,107.6,69.4,65.2,101.9,105.2,,,,,,,,,
Duquesne,92,St. Joseph's,80,111.1,105.1,67.2,70.2,101.6,105.3,,,,,,,,,
Radford,66,Winthrop,52,102.1,113.7,66.4,66.8,105.8,102,,,,,,,,,
Western Kentucky,80,UAB,78,105.2,101.7,67.4,72.7,113.7,102.7,,,,,,,,,
Missouri State,66,Illinois State,76,104.5,106.3,63.3,65.2,100.2,101.3,,,,,,,,,
Louisiana Tech,65,North Texas,67,106,95.2,68.9,59.4,107.9,103.8,,,,,,,,,
Middle Tennessee,71,Rice,68,104.1,108.8,67.4,71.1,107.8,100.6,,,,,,,,,
Chicago State,63,Tarleton State,73,100.6,103.2,65.1,68.5,103,111.7,,,,,,,,,
Utah Valley,71,California Baptist,67,106.7,101.5,68.4,65,102.7,99.1,,,,,,,,,
American,60,Army,72,102.5,109.7,64,68.7,106.1,105.5,,,,,,,,,
Mississippi State,50,Georgia,58,103.7,97,64.7,67.3,106,89.8,,,,,,,,,
Holy Cross,58,Lehigh,76,92.2,106.8,67.5,70.5,97.9,108.2,,,,,,,,,
Albany (NY),69,Bryant,86,99.4,108.4,67.7,73.5,107.4,113,,,,,,,,,
Memphis,104,UCF,107,110.5,94.5,72.5,63.6,109.5,94.9,,,,,,,,,
High Point,69,Charleston Southern,106,99.6,115.2,73.3,66.7,107.4,108.3,,,,,,,,,
Western Carolina,76,Chattanooga,95,101,108.4,67.7,67.2,111.9,107.7,,,,,,,,,
ETSU,96,The Citadel,74,99.2,109.3,67.1,69,98,106.6,,,,,,,,,
Boston University,71,Colgate,77,100.7,107.7,66.6,68.3,112.5,107.4,,,,,,,,,
Richmond,61,Davidson,57,103.9,103,65.2,67.2,105.1,97.8,,,,,,,,,
Towson,59,Delaware,72,104.9,106.7,63.3,67.6,103.2,102.2,,,,,,,,,
North Carolina A&T,80,Elon,71,101.8,112.3,68.7,68.1,94.9,109.9,,,,,,,,,
Monmouth,57,Hofstra,77,89.7,103.5,68.7,68.3,107.3,111.4,,,,,,,,,
Southern Illinois,69,Indiana State,61,100.8,101.8,64,71.6,107.2,95,,,,,,,,,
New Hampshire,71,Maine,58,97.2,111.8,63.8,67,100.3,106.7,,,,,,,,,
La Salle,78,UMass,77,100.1,100.4,68.4,71.7,102.2,106.9,,,,,,,,,
Lafayette,59,Navy,50,97,111,62.5,64.3,105.3,104.3,,,,,,,,,
Binghamton,72,NJIT,71,98.6,108.9,67.2,66.1,95.6,111,,,,,,,,,
Indiana,66,Penn State,85,113.2,98.5,69.7,65.6,114,96.3,,,,,,,,,
Gardner-Webb,79,Presbyterian,78,97.6,111,66.5,64,96.9,99.1,,,,,,,,,
St. Bonaventure,67,Rhode Island,68,102.8,103,65.8,67.4,100.1,102,,,,,,,,,
Campbell,78,USC Upstate,63,100.5,108.3,65.6,67.8,99.4,106.7,,,,,,,,,
Virginia Tech,72,Syracuse,82,111.9,101.7,66.8,67.3,110.3,97.4,,,,,,,,,
Abilene Christian,86,Texas-Rio Grande Valley,103,101.8,110.9,69.3,74.8,101.6,105,,,,,,,,,
UNC Greensboro,72,VMI,57,100.5,115.8,66.9,67.6,101.1,96.2,,,,,,,,,
Baylor,83,West Virginia,78,117.8,96.6,69.1,68.6,114.2,98.7,,,,,,,,,
Hampton,65,William & Mary,81,95.7,109.6,69.4,65.1,100.5,114.4,,,,,,,,,
Evansville,46,Bradley,91,92.2,96.1,69.1,65.4,104.6,108.8,,,,,,,,,
George Mason,62,Saint Louis,63,105.4,102.3,66.1,69.5,111.4,100.3,,,,,,,,,
Wofford,58,Samford,83,105.5,106.5,65.7,66.8,109.1,107.2,,,,,,,,,
Tulane,97,SMU,88,110.9,102.3,73.7,68.4,102.1,101.5,,,,,,,,,
East Carolina,55,Cincinnati,83,102.1,97,67.5,69.1,108,104.4,,,,,,,,,
Louisville,70,Clemson,83,97.5,98,68.2,68.5,111.9,106.6,,,,,,,,,
Rutgers,65,Northwestern,62,106.4,92.3,66.1,67,105.9,86.6,,,,,,,,,
UTSA,57,UTEP,69,99.9,97.2,68,66.5,95.2,112.8,,,,,,,,,
Florida State,75,Wake Forest,90,105.7,102.3,69.2,69.4,112.7,105.8,,,,,,,,,
UCSB,60,Cal State Bakersfield,48,105.2,104.2,65.5,62.3,93.5,98.9,,,,,,,,,
UC-Davis,62,Cal State Northridge,54,102.5,110.2,72.5,64.3,95.6,102.2,,,,,,,,,
Cal State Fullerton,65,UC-Irvine,70,102.1,100.8,64.9,69.3,107.8,103.4,,,,,,,,,
UC-Riverside,74,UC-San Diego,68,104,107.9,67.8,64.5,97.3,103.2,,,,,,,,,
Boise State,84,UNLV,66,107.6,97,67.8,70.1,106,90.7,,,,,,,,,
California,51,Washington State,66,101.6,98.6,62.6,63.8,111.1,103.9,,,,,,,,,
Utah,49,UCLA,68,106.1,88.4,67.8,66.7,115.8,93.7,,,,,,,,,
Gonzaga,75,BYU,74,119.2,94.4,71.4,70.5,104.2,98,,,,,,,,,
Arizona,86,Oregon State,74,117.9,103.7,73.1,64.6,100.1,99.1,,,,,,,,,
Longwood,46,UNC Asheville,54,104.1,102.8,67.2,68.7,101.3,101.2,,,,,,,,,
Cal Poly,58,Long Beach State,77,94.2,104.2,64.9,74,103.8,103.6,,,,,,,,,
Southern Miss,67,Marshall,89,104.5,99.6,68.6,71.3,110.2,99.6,,,,,,,,,
Coastal Carolina,67,Old Dominion,66,102.1,103.7,68.8,65.2,104.1,108.9,,,,,,,,,
Lipscomb,87,Austin Peay,65,103.8,108.5,69.4,64.7,101.3,104.8,,,,,,,,,
North Florida,63,Jacksonville State,72,103.8,110.7,69.4,64.7,100,112,,,,,,,,,
James Madison,62,South Alabama,63,105.4,102.4,71.7,66.7,100.9,97.4,,,,,,,,,
Sam Houston State,74,Southern Utah,86,106.6,103.8,66.3,72,107.3,96.5,,,,,,,,,
Loyola Marymount,62,Saint Mary's,76,108.1,89.4,68.3,63.2,111.7,101.6,,,,,,,,,
Georgia Southern,67,Appalachian State,65,100.3,100.4,65.7,66.4,98.4,103.3,,,,,,,,,
Stetson,80,Bellarmine,51,111.2,109.4,62.9,62,101.2,111.5,,,,,,,,,
Minnesota,70,Ohio State,67,102.6,99.5,65.2,66.9,118.6,102.7,,,,,,,,,
Youngstown State,84,Detroit,79,113.9,113.6,68.9,67.5,111,108.6,,,,,,,,,
Florida Gulf Coast,76,Eastern Kentucky,97,105.2,104.7,67,71.1,103,103.8,,,,,,,,,
Troy,65,Georgia State,53,102.4,102,68.7,66,97.7,99,,,,,,,,,
Michigan,84,Iowa,93,112.7,101.5,69.1,70.2,118.1,98.8,,,,,,,,,
Purdue-Fort Wayne,70,IUPUI,55,101.8,116.1,68.8,67,88.7,101.1,,,,,,,,,
Jacksonville,68,Kennesaw State,81,101,104.5,62.7,68.6,104.3,101.4,,,,,,,,,
North Alabama,54,Liberty,72,99.8,97.7,69.9,63.3,109.4,112.5,,,,,,,,,
Louisiana,86,Louisiana-Monroe,73,109.9,108.1,69.7,67.3,97.8,105.2,,,,,,,,,
Robert Morris,65,Oakland,69,98.1,111.5,67.2,68.8,103.1,105.7,,,,,,,,,
Central Arkansas,92,Queens (NC),91,98.3,110,73,69.7,107.9,112.6,,,,,,,,,
Drexel,66,Stony Brook,67,102.6,108.5,63.8,64,96.8,101.7,,,,,,,,,
Texas State,61,Arkansas State,58,99.6,108.9,64.8,63.5,96.1,101.8,,,,,,,,,
SIU-Edwardsville,80,Eastern Illinois,62,102.4,108.3,68.7,68.9,91,101.5,,,,,,,,,
Wright State,99,Green Bay,67,102.5,118,71.3,65.9,93.4,105.2,,,,,,,,,
Texas A&M-Commerce,59,Houston Christian,68,98.8,116.6,66.2,70.4,99.1,110.1,,,,,,,,,
